SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,74725600,A & B LIQUOR STORE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,75413400,SOBEYS LIQUOR (SPRUCE GROVE),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,75413500,CALGARY CO-OP WINES & SPIRITS - OAKRIDGE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,75414100,ROYAL SPIRITS & WINES,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,75414100,ROYAL SPIRITS & WINES,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,3,CS,75501400,CALGARY CO-OP WINES & SPIRITS -,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,75618600,CALGARY CO-OP WINES & SPIRITS - RICHMOND,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,75618600,CALGARY CO-OP WINES & SPIRITS - RICHMOND,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,75891200,BRIDGELAND LIQUOR STORE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,75910100,LIQUOR DEN,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,75910100,LIQUOR DEN,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76004000,BEITEL BROS. LIQUOR,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76129800,CALGARY CO-OP WINES & SPIRITS -,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76129800,CALGARY CO-OP WINES & SPIRITS -,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76150100,SOBEYS WESTERN CELLARS,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76158600,CALGARY CO-OP WINES & SPIRITS - MACLEOD,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76158600,CALGARY CO-OP WINES & SPIRITS - MACLEOD,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76191400,CALGARY CO-OP WINES & SPIRITS - TARADALE,71.16,11.86
