SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77901300,58TH AVENUE LIQUOR STORE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77968300,SOBEYS LIQUOR CLARESHOLM,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77976000,BIN 905 DISTINCT WINES,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78013600,LIQUOR BARON,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78020100,3 PEAKS LIQUOR,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78049300,ACE LIQUOR DISCOUNTER AT OKOTOKS,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78062900,LIQUOR ISLAND,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78065700,VIVO LIQUOR,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78107900,BSW LIQUOR,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78124100,LUMINOUS LIQUOR,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78140100,OLYMPIA LIQUOR COP,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78155300,VIVO LIQUOR,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78209100,LIQUOR PORT,75.66,12.61
